Type;Outlet Name;Location;Description
Television;KTOO-TV;Juneau;Public television station providing news and public affairs programming. KTOO
Radio;Alaska Public Media;Statewide;NPR affiliate offering news and cultural programming across Alaska. Alaska Public Media
Radio;KTOO 104.3 FM;Juneau;Public radio station providing news and music programming. KTOO
Radio;KYUK 640 AM;Bethel;Public radio station serving the Yukon-Kuskokwim Delta region. Kyuk
Digital;Alaska Beacon;Statewide;Independent, nonpartisan news organization focused on state government. Alaska Beacon
Digital;Anchorage Press;Anchorage;Provides news, arts, and entertainment coverage for Anchorage.
Digital;Alaska News Nightly;Statewide;Statewide news program featuring stories of interest to all Alaskans. Alaska Public Media
Newspaper;The Arizona Republic;Phoenix;Arizona's largest daily newspaper, covering statewide news.
Newspaper;Arizona Daily Star;Tucson;Provides news coverage for Tucson and Southern Arizona.
Newspaper;East Valley Tribune;Mesa;Focuses on news in the East Valley region of the Phoenix metro area.
Newspaper;Arizona Capitol Times;Phoenix;Weekly newspaper covering state politics and government. Wikipedia
Newspaper;Phoenix New Times;Phoenix;Alternative weekly newspaper covering news, arts, and culture. Wikipedia
Television;ABC15 Arizona (KNXV);Phoenix;Provides news, weather, and sports for the Phoenix area. ABC15
Television;12 News (KPNX);Phoenix;NBC affiliate offering local news coverage. 12 News
Television;FOX 10 Phoenix (KSAZ);Phoenix;FOX affiliate providing news and entertainment programming. Fox 10 Phoenix
Television;AZPM News (KUAT);Tucson;Public television station offering news and public affairs programming. AZPM News
Radio;KTAR News 92.3 FM;Phoenix;News/talk radio station covering Phoenix and Maricopa County. Ktar
Radio;KJZZ 91.5 FM;Phoenix;NPR affiliate providing news and cultural programming.
Radio;La Campesina 88.3 FM;Phoenix;Spanish-language station focusing on news and community issues. The New Yorker
Digital;AZCentral.com;Phoenix;Digital platform for The Arizona Republic, offering comprehensive news coverage.
Digital;Tucson Sentinel;Tucson;Nonprofit online newspaper focusing on local news and investigative reporting. Wikipedia
Digital;Arizona Mirror;Phoenix;Nonprofit news organization covering state politics and policy.
Newspaper;Arkansas Democrat-Gazette;Little Rock;The state's largest daily newspaper, offering comprehensive statewide news coverage. Arkansas Online
Newspaper;Northwest Arkansas Democrat-Gazette;Fayetteville;Provides news coverage for Northwest Arkansas and the River Valley region. Wikipedia
Newspaper;Arkansas Times;Little Rock;A monthly magazine and online publication covering news, politics, and culture. Arkansas Times
Television;KATV (ABC 7);Little Rock;ABC affiliate providing news, weather, and sports for Central Arkansas. KATV
Television;KARK (NBC 4);Little Rock;NBC affiliate offering local news coverage for Central Arkansas. Kark
Television;KLRT (FOX 16);Little Rock;FOX affiliate providing news and entertainment programming. Fox 16
Television;KNWA (NBC 51);Fayetteville;NBC affiliate serving Northwest Arkansas and the River Valley. Wikipedia
Television;KAIT (ABC/NBC/CW 8);Jonesboro;Provides news coverage for Northeast Arkansas. Wikipedia
Radio;KUAR 89.1 FM;Little Rock;NPR affiliate offering news and cultural programming for Central Arkansas.
Radio;KARN News Radio 102.9 FM;Little Rock;News/talk radio station covering Central Arkansas.
Digital;Talk Business & Politics;Statewide;Online publication focusing on business and political news in Arkansas.
Digital;Arkansas Business;Little Rock;Provides business news and analysis for Arkansas.
Newspaper;Los Angeles Times;Los Angeles;Major daily newspaper covering Los Angeles and Southern California. NBC Los Angeles
Newspaper;San Francisco Chronicle;San Francisco;Leading newspaper serving the San Francisco Bay Area. NBC Bay Area
Newspaper;The Sacramento Bee;Sacramento;Provides news coverage for Sacramento and Northern California. KTLA
Newspaper;The San Diego Union-Tribune;San Diego;Covers news in San Diego and surrounding regions. FOX 11 Los Angeles
Newspaper;The Mercury News;San Jose;Focuses on news in Silicon Valley and the South Bay area. Wikipedia
Television;KTLA 5;Los Angeles;Provides news, weather, and entertainment for Los Angeles. KTLA
Television;KPIX 5 (CBS);San Francisco;CBS affiliate offering local news coverage for the Bay Area. NBC Bay Area
Television;KCRA 3 (NBC);Sacramento;NBC affiliate providing news and weather for Sacramento. KTLA
Television;KNSD (NBC 7);San Diego;NBC affiliate covering news in San Diego. FOX 11 Los Angeles
Television;KTVU Fox 2;Oakland;FOX affiliate serving the San Francisco Bay Area. NBC Bay Area
Radio;KNX 1070 NewsRadio;Los Angeles;All-news radio station covering Southern California. NBC Los Angeles
Radio;KCBS All News 106.9 FM;San Francisco;All-news radio station serving the Bay Area. NBC Bay Area
Radio;KQED 88.5 FM;San Francisco;NPR affiliate offering news and cultural programming. NBC Bay Area
Radio;KPCC 89.3 FM;Pasadena;NPR affiliate providing news for Southern California. NBC Los Angeles
Radio;KCRW 89.9 FM;Santa Monica;Public radio station offering news and music programming. NBC Los Angeles
Digital;CalMatters;Statewide;Nonprofit news organization covering California policy and politics. KTLA
Digital;LAist;Los Angeles;Provides news and information for the Los Angeles area. NBC Los Angeles
Digital;SFGATE;San Francisco;Online news source covering the Bay Area. NBC Bay Area
Digital;Voice of San Diego;San Diego;Nonprofit news organization focusing on San Diego issues. FOX 11 Los Angeles
Digital;Berkeleyside;Berkeley;Independent news site covering Berkeley and the East Bay. NBC Bay Area
Newspaper;The Denver Post;Denver;Major daily newspaper covering Denver and the Rocky Mountain region. Denver7
Newspaper;The Colorado Sun;Denver;Online news outlet providing in-depth coverage of Colorado news. Colorado Sun
Newspaper;Boulder Daily Camera;Boulder;Daily newspaper serving Boulder and surrounding areas. KDVR
Newspaper;The Gazette;Colorado Springs;Covers news in Colorado Springs and the Pikes Peak region. KDVR
Newspaper;The Durango Herald;Durango;Provides news coverage for Durango and the Four Corners area. 9 News
Television;9NEWS (KUSA);Denver;NBC affiliate offering local news, weather, and sports. 9 News
Television;CBS Colorado (KCNC);Denver;CBS affiliate providing news and entertainment programming. CBS News
Television;Denver7 (KMGH);Denver;ABC affiliate covering news in the Denver metro area. Denver7
Television;FOX31 Denver (KDVR);Denver;FOX affiliate offering news, weather, and sports coverage. KDVR
Television;KRDO NewsChannel 13;Colorado Springs;ABC affiliate serving Southern Colorado. Denver7
Radio;Colorado Public Radio (CPR);Statewide;NPR affiliate providing news and cultural programming across Colorado. KDVR
Radio;KOA NewsRadio 850 AM;Denver;News/talk radio station covering Denver and the Front Range. Denver7
Radio;KUNC 91.5 FM;Greeley;Public radio station offering news and music programming. CBS News
Radio;KBCO 97.3 FM;Boulder;Music station also providing local news updates. Colorado Sun
Radio;KGNU 88.5 FM;Boulder/Denver;Community radio station offering news and cultural content. CBS News
Digital;Colorado Politics;Statewide;Online publication focusing on Colorado political news. Fox 21 News
Digital;Westword;Denver;Alternative weekly covering news, arts, and culture in Denver. Wikipedia
Digital;Denverite;Denver;Online news source providing local Denver news and information. Wikipedia
Digital;The Colorado Independent;Statewide;Nonprofit news organization covering Colorado issues. Wikipedia
Digital;OutThere Colorado;Statewide;Focuses on outdoor news and activities in Colorado. Wikipedia
Newspaper;Hartford Courant;Hartford;The oldest continuously published newspaper in the U.S., covering statewide news. Wikipedia
Newspaper;New Haven Register;New Haven;Provides news coverage for New Haven and surrounding areas. Wikipedia
Newspaper;The Day;New London;Covers news in southeastern Connecticut. Wikipedia
Newspaper;Connecticut Post;Bridgeport;Focuses on news in Bridgeport and Fairfield County. Wikipedia
Newspaper;The News-Times;Danbury;Serves Danbury and the surrounding region. Wikipedia
Television;NBC Connecticut (WVIT);Hartford;NBC affiliate providing news, weather, and sports. NBC Connecticut
Television;WFSB Channel 3;Hartford;CBS affiliate offering local news coverage. NBC Connecticut
Television;FOX 61 (WTIC);Hartford;FOX affiliate providing news and entertainment programming. Fox61
Television;News 12 Connecticut;Norwalk;Cable news channel covering southwestern Connecticut. News 12 Connecticut
Television;WTNH News 8;New Haven;ABC affiliate serving New Haven and surrounding areas. NBC Connecticut
Radio;Connecticut Public Radio;Statewide;NPR affiliate offering news and cultural programming across Connecticut. Connecticut Public
Radio;WTIC NewsTalk 1080;Hartford;News/talk radio station covering Hartford and the state. Connecticut Post
Radio;WSHU Public Radio;Fairfield;Public radio station providing news and classical music. Fox61
Radio;WNPR 90.5 FM;Hartford;Public radio station offering news and talk programs. Connecticut Public
Radio;WICC 600 AM;Bridgeport;News and talk radio serving Fairfield County. Wikipedia
Digital;CT Mirror;Statewide;Nonprofit news organization covering Connecticut public policy and politics. CT Mirror
Digital;CT News Junkie;Statewide;Online news source focusing on state government and politics. Wikipedia
Digital;Patch Connecticut;Statewide;Hyperlocal news platform covering various Connecticut communities. Wikipedia
Digital;New Haven Independent;New Haven;Online news outlet providing in-depth local coverage. Wikipedia
Digital;CT Examiner;Statewide;Digital news site covering Connecticut news and analysis. Wikipedia
Newspaper;The News Journal;Wilmington;Delaware's largest daily newspaper, covering statewide news. Wikipedia
Newspaper;Delaware State News;Dover;Daily newspaper serving central and southern Delaware. Wikipedia
Newspaper;The Delaware Wave;Bethany Beach;Weekly newspaper covering southeastern Delaware. Wikipedia
Television;6abc Action News;Philadelphia, PA;ABC affiliate covering news in Delaware and the greater Philadelphia area. 6ABC
Television;WMDT 47abc;Salisbury, MD;ABC affiliate providing news coverage for Delaware's Eastern Shore. WMDT
Television;WHYY-TV;Wilmington;PBS member station offering news and public affairs programming. Delaware Public Media
Radio;Delaware Public Media;Dover;NPR affiliate providing news and cultural programming across Delaware. Delaware Public Media
Radio;WDEL 1150 AM;Wilmington;News/talk radio station covering northern Delaware. Delaware Public Media
Radio;WDDE 91.1 FM;Dover;Public radio station offering news and information. Delaware Public Media
Digital;Delaware Online;Wilmington;Digital platform for The News Journal, offering comprehensive news coverage. Wikipedia
Digital;Delaware LIVE News;Statewide;Online news outlet focusing on Delaware's people, organizations, and businesses. Delaware Live
Digital;First State Update;Statewide;Provides breaking news and updates across Delaware. First State Update
Digital;Milford LIVE!;Milford;Local news source covering Kent and Sussex counties. Milford Live
Digital;DETV;Wilmington;Local media outlet offering news and community programming. Detvch
Newspaper;Miami Herald;Miami;Major daily newspaper covering Miami and South Florida. Intelligent Relations
Newspaper;Tampa Bay Times;St. Petersburg;Leading newspaper serving the Tampa Bay area. Wikipedia
Newspaper;Orlando Sentinel;Orlando;Provides news coverage for Orlando and Central Florida. W3 Newspapers
Newspaper;Sun Sentinel;Fort Lauderdale;Covers news in Fort Lauderdale and South Florida. W3 Newspapers
Newspaper;The Palm Beach Post;West Palm Beach;Focuses on news in Palm Beach County and the Treasure Coast. W3 Newspapers
Television;WPLG Local 10;Miami;ABC affiliate providing news, weather, and sports for South Florida. W3 Newspapers
Television;WTVT Fox 13;Tampa;FOX affiliate offering local news coverage for the Tampa Bay area. W3 Newspapers
Television;WESH 2 News;Orlando;NBC affiliate serving Orlando and Central Florida. W3 Newspapers
Television;WJXT News4JAX;Jacksonville;Independent station covering news in Jacksonville and Northeast Florida. W3 Newspapers
Television;WINK News;Fort Myers;CBS affiliate providing news coverage for Southwest Florida. W3 Newspapers
Radio;WLRN 91.3 FM;Miami;NPR affiliate offering news and cultural programming for South Florida. W3 Newspapers
Radio;WUSF 89.7 FM;Tampa;Public radio station providing news and information for the Tampa Bay area. W3 Newspapers
Radio;WMFE 90.7 FM;Orlando;NPR affiliate serving Orlando and Central Florida. CF Public
Radio;WJCT 89.9 FM;Jacksonville;Public radio station offering news and cultural content for Northeast Florida. W3 Newspapers
Radio;WGCU 90.1 FM;Fort Myers;NPR affiliate providing news and information for Southwest Florida. W3 Newspapers
Digital;Florida Politics;Statewide;Online publication focusing on political news and analysis in Florida. W3 Newspapers
Digital;Florida Today;Brevard County;Digital platform offering news coverage for the Space Coast region. W3 Newspapers
Digital;Creative Loafing Tampa Bay;Tampa;Alternative weekly covering news, arts, and culture in the Tampa Bay area. W3 Newspapers
Digital;Orlando Weekly;Orlando;Alternative news source focusing on local news, arts, and events in Orlando. W3 Newspapers
Digital;Miami New Times;Miami;Alternative weekly covering news, arts, and culture in Miami. W3 Newspapers
Newspaper;The Atlanta Journal-Constitution;Atlanta;Major daily newspaper covering Atlanta and statewide news. AJC
Newspaper;Savannah Morning News;Savannah;Provides news coverage for Savannah and the coastal region. Georgia Public Broadcasting
Newspaper;The Augusta Chronicle;Augusta;Covers news in Augusta and the surrounding areas. Georgia Public Broadcasting
Newspaper;The Telegraph;Macon;Focuses on news in Macon and central Georgia. Georgia Public Broadcasting
Newspaper;Athens Banner-Herald;Athens;Serves Athens and the northeast Georgia region. Georgia Public Broadcasting
Television;WSB-TV Channel 2;Atlanta;ABC affiliate providing news, weather, and sports for metro Atlanta. WSB-TV
Television;11Alive (WXIA-TV);Atlanta;NBC affiliate offering local news coverage for Atlanta. 11Alive
Television;FOX 5 Atlanta (WAGA-TV);Atlanta;FOX affiliate providing news and entertainment programming. Fox 5 Atlanta
Television;CBS46 (WGCL-TV);Atlanta;CBS affiliate covering news in the Atlanta metro area. Georgia Public Broadcasting
Television;WTOC-TV;Savannah;CBS affiliate serving Savannah and the coastal region. Georgia Public Broadcasting
Radio;WSB Radio 95.5 FM/750 AM;Atlanta;News/talk radio station covering Atlanta and north Georgia. WSB-TV
Radio;Georgia Public Broadcasting (GPB);Statewide;NPR affiliate offering news and cultural programming across Georgia. Georgia Public Broadcasting
Radio;WABE 90.1 FM;Atlanta;Public radio station providing news and cultural content for Atlanta. Georgia Public Broadcasting
Radio;WRAS 88.5 FM;Atlanta;College radio station offering diverse programming, including news. Georgia Public Broadcasting
Radio;WCLK 91.9 FM;Atlanta;Jazz station also providing news and public affairs programming. Georgia Public Broadcasting
Digital;Georgia Public Broadcasting News;Statewide;Online news platform offering in-depth coverage of Georgia news. Georgia Public Broadcasting
Digital;Atlanta Intown;Atlanta;Digital publication focusing on local news and events in Atlanta. Rough Draft Atlanta
Digital;SaportaReport;Atlanta;Provides news and analysis on metro Atlanta's business and civic issues. Georgia Public Broadcasting
Digital;The Current;Coastal Georgia;Nonprofit news organization covering coastal Georgia. Georgia Public Broadcasting
Digital;Georgia Recorder;Statewide;Nonprofit news outlet focusing on Georgia politics and policy. Georgia Public Broadcasting
Newspaper;Honolulu Star-Advertiser;Honolulu;Hawaii's largest daily newspaper, covering statewide news. Star Advertiser
Newspaper;The Maui News;Wailuku;Daily newspaper serving Maui, Lanai, and Molokai. Wikipedia
Newspaper;Hawaii Tribune-Herald;Hilo;Provides news coverage for the Big Island. Big Island Now
Newspaper;West Hawaii Today;Kailua-Kona;Covers news in West Hawaii and the Big Island. Big Island Now
Newspaper;The Garden Island;Lihue;Serves Kauai with local news and information. Big Island Now
Television;KHON2;Honolulu;FOX and CW affiliate providing news, weather, and sports. KHON2 News
Television;Hawaii News Now;Honolulu;NBC and CBS affiliate offering local news coverage. Big Island Now
Television;KITV4 Island News;Honolulu;ABC affiliate covering news across the Hawaiian Islands. Big Island Now
Television;KHII;Honolulu;MyNetworkTV affiliate providing additional news programming. Big Island Now
Television;KFVE;Honolulu;Independent station offering local news and entertainment. Big Island Now
Radio;Hawai‘i Public Radio;Statewide;NPR affiliate offering news and cultural programming across Hawaii. Hawaii Public Radio
Radio;KSSK AM 590 / FM 92.3;Honolulu;News/talk radio station covering Oahu and statewide. Big Island Now
Radio;KHVH News Radio 830 AM;Honolulu;Provides news and talk programming for Honolulu. Big Island Now
Radio;KINE FM 105.1;Honolulu;Hawaiian music station also offering news updates. Big Island Now
Radio;KKCR 90.9 FM;Hanalei;Community radio station serving Kauai with news and music. Big Island Now
Digital;Honolulu Civil Beat;Honolulu;Nonprofit news organization focusing on investigative journalism. Civil Beat
Digital;Big Island Now;Hilo;Online news source covering the Big Island. Big Island Now
Digital;Maui Now;Kahului;Provides news and information for Maui County. Big Island Now
Digital;Kauai Now;Lihue;Online platform offering news for Kauai residents. Big Island Now
Digital;Hawaii Free Press;Statewide;Digital news outlet covering Hawaii politics and issues. Big Island Now
Newspaper;Idaho Statesman;Boise;Major daily newspaper covering Boise and the Treasure Valley. Idaho Statesman
Newspaper;Idaho Press;Nampa;Provides news coverage for Nampa and the surrounding areas. Idaho Statesman
Newspaper;The Spokesman-Review;Coeur d'Alene;Covers news in northern Idaho and eastern Washington. Idaho Statesman
Newspaper;Post Register;Idaho Falls;Serves eastern Idaho with local news and information. Idaho Statesman
Newspaper;Lewiston Tribune;Lewiston;Provides news coverage for the Lewiston-Clarkston Valley. Idaho Statesman
Television;KTVB;Boise;NBC affiliate offering news, weather, and sports for southwestern Idaho. KTVB
Television;KBOI-TV (CBS 2);Boise;CBS affiliate providing local news coverage. Idaho News
Television;KIVI-TV (Idaho News 6);Boise;ABC affiliate serving Boise and the Treasure Valley. KiviTV
Television;KXLY-TV;Coeur d'Alene;ABC affiliate covering news in northern Idaho. Idaho Statesman
Television;KIFI Local News 8;Idaho Falls;ABC affiliate providing news for eastern Idaho and western Wyoming. Idaho Statesman
Radio;Boise State Public Radio;Boise;NPR affiliate offering news and cultural programming across Idaho. Boise State Public Radio
Radio;KBOI 670 AM;Boise;News/talk radio station covering Boise and southwestern Idaho. Idaho Statesman
Radio;KBSX 91.5 FM;Boise;Public radio station providing news and information. Boise State Public Radio
Radio;KISU 91.1 FM;Pocatello;Public radio station serving southeastern Idaho. Idaho Statesman
Radio;KRFY 88.5 FM;Sandpoint;Community radio station offering local news and music. Idaho Statesman
Digital;IdahoEdNews.org;Statewide;Online news outlet focusing on education in Idaho. Idaho Statesman
Digital;Idaho Reports;Statewide;Provides in-depth coverage of Idaho politics and government. Idaho Statesman
Digital;East Idaho News;Idaho Falls;Online news source covering eastern Idaho. East Idaho News
Digital;BoiseDev;Boise;Digital publication focusing on development and business news in Boise. Idaho Statesman
Digital;Idaho Press-Tribune;Nampa;Online platform offering news for Nampa and the Treasure Valley. Idaho Statesman
Newspaper;Chicago Tribune;Chicago;Major daily newspaper covering Chicago and statewide news. Agility PR
Newspaper;Chicago Sun-Times;Chicago;Provides news coverage for Chicago and the surrounding areas. Agility PR
Newspaper;The State Journal-Register;Springfield;Covers news in Springfield and central Illinois. Agility PR
Newspaper;Daily Herald;Arlington Heights;Serves the northwest suburbs of Chicago with local news. Agility PR
Newspaper;The News-Gazette;Champaign;Focuses on news in Champaign-Urbana and east-central Illinois. Agility PR
Television;WGN-TV;Chicago;Independent station providing news, weather, and sports for Chicago. NBC Chicago
Television;WLS-TV (ABC 7);Chicago;ABC affiliate offering local news coverage for Chicago. NBC Chicago
Television;WMAQ-TV (NBC 5);Chicago;NBC affiliate covering news in the Chicago metro area. NBC Chicago
Television;WBBM-TV (CBS 2);Chicago;CBS affiliate providing news and entertainment programming. NBC Chicago
Television;WFLD (FOX 32);Chicago;FOX affiliate offering news and sports coverage. NBC Chicago
Radio;WBEZ 91.5 FM;Chicago;NPR affiliate offering news and cultural programming across Chicago. NPR Illinois
Radio;WGN 720 AM;Chicago;News/talk radio station covering Chicago and northern Illinois. NPR Illinois
Radio;WBBM Newsradio 780 AM;Chicago;All-news radio station providing 24/7 news coverage. NPR Illinois
Radio;WBEZ 91.5 FM;Chicago;Public radio station offering news and information. NPR Illinois
Radio;WDCB 90.9 FM;Glen Ellyn;Public radio station serving the western suburbs with news and jazz. NPR Illinois
Digital;Block Club Chicago;Chicago;Nonprofit news organization focusing on neighborhood-level reporting. Public Narrative
Digital;Illinois Newsroom;Statewide;Collaborative journalism venture providing in-depth coverage of Illinois issues. NPR Illinois
Digital;Capitol News Illinois;Springfield;News service covering state government and politics. NPR Illinois
Digital;Chicago Reader;Chicago;Alternative weekly covering news, arts, and culture in Chicago. Public Narrative
Digital;Crain's Chicago Business;Chicago;Provides business news and analysis for the Chicago area. Public Narrative
Newspaper;The Indianapolis Star;Indianapolis;Major daily newspaper covering Indianapolis and statewide news. Wikipedia
Newspaper;The Herald-Times;Bloomington;Daily newspaper serving Bloomington and surrounding areas. Wikipedia
Newspaper;The Times;Munster;Provides news coverage for northwest Indiana. Wikipedia
Newspaper;The Journal Gazette;Fort Wayne;Covers news in Fort Wayne and northeast Indiana. Wikipedia
Newspaper;The Courier & Press;Evansville;Focuses on news in Evansville and southwestern Indiana. Wikipedia
Television;WTHR Channel 13;Indianapolis;NBC affiliate providing news, weather, and sports for central Indiana. WTHR
Television;WRTV Channel 6;Indianapolis;ABC affiliate offering local news coverage for Indianapolis. WRTV
Television;WISH-TV Channel 8;Indianapolis;CW affiliate covering news in the Indianapolis metro area. WISH-TV
Television;FOX59 (WXIN);Indianapolis;FOX affiliate providing news and entertainment programming. Fox 59
Television;WFYI Public Media;Indianapolis;PBS affiliate offering educational and cultural programming. WFYI
Radio;WFYI 90.1 FM;Indianapolis;NPR affiliate offering news and cultural programming across central Indiana. WFYI
Radio;WBAA 920 AM / 101.3 FM;West Lafayette;Public radio station serving the Lafayette area. Wikipedia
Radio;WFIU 103.7 FM;Bloomington;Public radio station providing news and information. Indiana Public Media
Radio;WBOI 89.1 FM;Fort Wayne;Public radio station offering news and cultural content for northeast Indiana. Wikipedia
Radio;WVPE 88.1 FM;Elkhart;NPR affiliate serving the Michiana region. Wikipedia
Digital;Indiana Public Media;Statewide;Online platform offering news and cultural content from WFIU and WTIU. Indiana Public Media
Digital;IndyStar.com;Indianapolis;Digital platform for The Indianapolis Star, providing comprehensive news coverage. Wikipedia
Digital;Inside Indiana Business;Statewide;Provides business news and analysis for Indiana. Wikipedia
Digital;TheStatehouseFile.com;Indianapolis;News website covering Indiana politics and government. Wikipedia
Digital;NUVO;Indianapolis;Alternative news source focusing on arts, culture, and local events. Wikipedia
Newspaper;The Des Moines Register;Des Moines;Iowa's largest daily newspaper, covering statewide news. Wikipedia
Newspaper;The Gazette;Cedar Rapids;Leading daily newspaper serving Eastern Iowa. Wikipedia
Newspaper;Quad-City Times;Davenport;Provides news coverage for the Quad Cities region. Wikipedia
Newspaper;Sioux City Journal;Sioux City;Covers news in Sioux City and northwest Iowa. Wikipedia
Newspaper;The Waterloo-Cedar Falls Courier;Waterloo;Focuses on news in Waterloo, Cedar Falls, and the Cedar Valley. Wikipedia
Television;KCCI 8 News;Des Moines;CBS affiliate providing news, weather, and sports for central Iowa. Who13
Television;WHO 13 News;Des Moines;NBC affiliate offering local news coverage for Des Moines and central Iowa. Who13
Television;KCRG-TV9;Cedar Rapids;ABC affiliate serving Eastern Iowa with news and weather updates. Who13
Television;KWQC-TV6;Davenport;NBC affiliate covering news in the Quad Cities area. Who13
Television;KTIV News 4;Sioux City;NBC affiliate providing news coverage for Sioux City and northwest Iowa. Who13
Radio;Iowa Public Radio;Statewide;NPR affiliate offering news and cultural programming across Iowa. Iowa Public Radio
Radio;WHO Radio 1040 AM;Des Moines;News/talk radio station covering Des Moines and central Iowa. Who13
Radio;KXEL 1540 AM;Waterloo;News/talk radio station serving Waterloo and northeast Iowa. Who13
Radio;WMT 600 AM;Cedar Rapids;News/talk radio station covering Cedar Rapids and Eastern Iowa. Who13
Radio;KSCJ 1360 AM;Sioux City;News/talk radio station serving Sioux City and northwest Iowa. Who13
Digital;Iowa Capital Dispatch;Statewide;Nonprofit news organization focusing on Iowa politics and policy. Who13
Digital;Bleeding Heartland;Statewide;Independent news and analysis on Iowa politics. Who13
Digital;Little Village;Iowa City;Alternative news source covering arts, culture, and news in Iowa City and Cedar Rapids. Who13
Digital;The Daily Iowan;Iowa City;Student-run newspaper of the University of Iowa, covering campus and local news. Who13
Digital;Iowa Starting Line;Statewide;Online news outlet focusing on Iowa politics and campaigns. Who13
Newspaper;The Wichita Eagle;Wichita;Major daily newspaper covering Wichita and south-central Kansas. Kansas City
Newspaper;The Topeka Capital-Journal;Topeka;Provides news coverage for Topeka and northeast Kansas. Kansas City
Newspaper;The Kansas City Star;Kansas City;Covers news in Kansas City and the surrounding areas, including parts of Kansas. Kansas City
Newspaper;Lawrence Journal-World;Lawrence;Focuses on news in Lawrence and Douglas County. Kansas City
Newspaper;The Hutchinson News;Hutchinson;Serves Hutchinson and the central Kansas region. Kansas City
Television;KSNW (KSN News);Wichita;NBC affiliate providing news, weather, and sports for Wichita and central Kansas. KSN
Television;KAKE News;Wichita;ABC affiliate offering local news coverage for Wichita and surrounding areas. Kansas City
Television;WIBW-TV;Topeka;CBS affiliate covering news in Topeka and northeast Kansas. Kansas City
Television;KSNT News;Topeka;NBC affiliate serving Topeka and northeast Kansas. Kansas City
Television;KCTV5 News;Kansas City;CBS affiliate providing news coverage for the Kansas City metro area, including parts of Kansas. Kansas City
Radio;Kansas Public Radio (KPR);Lawrence;NPR affiliate offering news and cultural programming across Kansas. Kansas Public Radio
Radio;KMUW 89.1 FM;Wichita;Public radio station providing news and information for south-central Kansas. Kansas City
Radio;KANU 91.5 FM;Lawrence;Public radio station serving northeast Kansas. Kansas City
Radio;KPR2 96.1 FM;Lawrence;Secondary public radio station offering additional news programming. Kansas City
Radio;KFDI-FM 101.3;Wichita;Country music station also providing news updates for Wichita. Kansas City
Digital;Kansas Reflector;Statewide;Nonprofit news organization focusing on Kansas politics and policy. Kansas City
Digital;The Lawrence Times;Lawrence;Online news source covering local news in Lawrence and Douglas County. Kansas City
Digital;The Topeka Capital-Journal Online;Topeka;Digital platform offering news coverage for Topeka and northeast Kansas. Kansas City
Digital;Wichita Business Journal;Wichita;Provides business news and analysis for the Wichita area. Kansas City
Digital;Shawnee Mission Post;Shawnee Mission;Online news outlet covering local news in the Shawnee Mission area. Wikipedia
Newspaper;The Courier-Journal;Louisville;Kentucky's largest daily newspaper, covering Louisville and statewide news. Wikipedia
Newspaper;Lexington Herald-Leader;Lexington;Major daily newspaper serving Lexington and central Kentucky. Kentucky
Newspaper;The Paducah Sun;Paducah;Provides news coverage for Paducah and western Kentucky. Kentucky
